,points_x,points_y,celltypes,phenotypes
618,6.15404,9.56004,Stroma,
619,5.74947,10.4563,Stroma,
620,5.41217,11.1071,Stroma,
621,4.93977,12.0852,Stroma,
622,4.63232,12.6942,Stroma,
623,4.47375,13.3144,Stroma,
624,4.95157,13.6462,Stroma,
625,4.68224,14.321,Stroma,
626,4.45635,15.1058,Stroma,
627,5.2808,16.6372,Stroma,
628,10.5562,19.5654,Stroma,
629,10.254,18.421,Stroma,
630,8.90802,22.3877,Stroma,
631,10.6181,22.0638,Stroma,
632,6.6962,22.343,Stroma,
633,9.53664,22.9189,Stroma,
634,5.95524,22.5153,Stroma,
635,5.33817,22.9492,Stroma,
636,4.92824,23.8126,Stroma,
637,4.30241,23.9911,Stroma,
638,4.9215,25.2262,Stroma,
639,4.66215,25.7598,Stroma,
640,4.81169,26.3489,Stroma,
641,5.17998,28.261,Stroma,
642,5.22191,29.7412,Stroma,
643,5.83952,29.4677,Stroma,
644,7.52104,30.8184,Stroma,
645,7.67437,30.0719,Stroma,
646,6.73174,33.7732,Stroma,
647,7.95958,33.5856,Stroma,
648,9.53277,33.2309,Stroma,
649,7.94917,35.1983,Stroma,
650,10.0581,33.6524,Stroma,
651,8.58036,34.8502,Stroma,
652,9.80484,36.1981,Stroma,
653,11.6955,35.4932,Stroma,
654,10.8164,37.5206,Stroma,
655,8.27481,38.9818,Stroma,
656,6.55633,40.7893,Stroma,
657,5.92221,42.3433,Stroma,
658,5.18214,42.5604,Stroma,
659,4.93821,43.9591,Stroma,
660,5.91304,45.0049,Stroma,
661,6.3656,45.9699,Stroma,
662,6.06465,46.5775,Stroma,
663,7.36948,46.8609,Stroma,
664,7.41045,47.5814,Stroma,
665,10.9194,47.529,Stroma,
666,8.08769,47.5287,Stroma,
667,8.73699,47.5543,Stroma,
668,6.98915,48.4294,Stroma,
669,7.25742,49.2039,Stroma,
670,6.77547,0.0,Stroma,
671,7.09588,0.796635,Stroma,
672,7.14678,1.65523,Stroma,
673,7.48699,2.41424,Stroma,
674,7.72818,3.09723,Stroma,
675,7.877,3.92712,Stroma,
676,7.88208,4.51688,Stroma,
677,8.36897,5.46227,Stroma,
678,10.2715,9.57272,Stroma,
679,9.49339,6.30279,Stroma,
680,7.73651,6.3232,Stroma,
681,7.22935,6.73959,Stroma,
682,7.41091,7.30475,Stroma,
683,6.63686,8.30574,Stroma,
684,6.7964,8.92224,Stroma,
685,6.87202,9.48161,Stroma,
686,6.12204,11.0139,Stroma,
687,5.42405,11.7035,Stroma,
688,5.29873,12.7054,Stroma,
689,5.46706,13.2554,Stroma,
690,5.29137,14.3153,Stroma,
691,5.0553,15.0498,Stroma,
692,4.88751,17.1159,Stroma,
693,6.77002,15.0446,Stroma,
694,6.97069,17.6943,Stroma,
695,8.34244,17.7401,Stroma,
696,8.03445,16.6545,Stroma,
697,8.99778,17.8138,Stroma,
698,5.98257,20.9187,Stroma,
699,9.26303,21.2607,Stroma,
700,8.22191,22.984,Stroma,
701,6.26253,23.082,Stroma,
702,5.57381,24.372,Stroma,
703,5.51734,25.0744,Stroma,
704,4.98303,24.5141,Stroma,
705,5.36596,26.2434,Stroma,
706,5.40146,26.862,Stroma,
707,5.05224,27.4091,Stroma,
708,5.50905,27.8225,Stroma,
709,5.80499,28.7473,Stroma,
710,7.04496,30.1958,Stroma,
711,9.02594,30.4614,Stroma,
712,8.64713,31.7474,Stroma,
713,6.39142,31.7176,Stroma,
714,7.41911,32.3324,Stroma,
715,8.92119,33.1302,Stroma,
716,7.15831,35.2859,Stroma,
717,10.391,34.9409,Stroma,
718,12.2255,33.4299,Stroma,
719,8.22613,34.1949,Stroma,
720,9.21536,35.8233,Stroma,
721,7.63662,39.2628,Stroma,
722,9.17148,36.6695,Stroma,
723,6.10222,41.4133,Stroma,
724,5.46352,43.5734,Stroma,
725,6.05069,43.9702,Stroma,
726,6.56754,44.4018,Stroma,
727,6.86522,45.5434,Stroma,
728,7.07397,46.2424,Stroma,
729,9.0037,46.7729,Stroma,
730,6.60685,46.9002,Stroma,
731,12.5554,45.8654,Stroma,
732,9.45346,47.5494,Stroma,
733,11.5975,47.683,Stroma,
734,8.2125,48.3518,Stroma,
735,7.87469,49.1534,Stroma,
736,9.18811,50.0,Stroma,
737,7.37043,0.0,Stroma,
738,7.68671,0.778618,Stroma,
739,7.73015,1.51622,Stroma,
740,8.06551,2.17778,Stroma,
741,8.32738,3.02835,Stroma,
742,8.46725,3.72769,Stroma,
743,8.47584,4.7793,Stroma,
744,9.78725,5.57321,Stroma,
745,11.4539,8.60807,Stroma,
746,8.90914,6.62604,Stroma,
747,10.0734,7.72944,Stroma,
748,8.4988,6.02904,Stroma,
749,11.2731,6.97501,Stroma,
750,7.04549,7.81095,Stroma,
751,7.39112,8.51675,Stroma,
752,7.72882,9.00275,Stroma,
753,6.26758,10.1123,Stroma,
754,6.14477,11.6649,Stroma,
755,5.81589,12.2682,Stroma,
756,6.22338,12.6612,Stroma,
757,6.15163,13.2965,Stroma,
758,5.77437,13.8539,Stroma,
759,5.70557,15.0763,Stroma,
760,6.26663,15.408,Stroma,
761,10.7092,18.9665,Stroma,
762,9.64915,18.1791,Stroma,
763,12.4108,21.7718,Stroma,
764,11.7715,20.3632,Stroma,
765,12.2373,22.5654,Stroma,
766,7.67747,23.4109,Stroma,
767,9.45809,21.9742,Stroma,
768,6.50406,21.749,Stroma,
769,6.80183,23.601,Stroma,
770,6.20403,23.9151,Stroma,
771,6.14527,25.2331,Stroma,
772,5.46709,25.6342,Stroma,
773,6.10604,26.5815,Stroma,
774,5.88564,27.1848,Stroma,
775,6.12153,27.7632,Stroma,
776,6.18074,28.3672,Stroma,
777,6.40439,29.1792,Stroma,
